date,mango_stage,constant_kc,phenology_kc,constant_et0,phenology_et0,constant_etc,phenology_etc,etc_difference,etc_percent_difference,constant_root_zone_depletion,phenology_root_zone_depletion,depletion_difference,constant_ks,phenology_ks,ks_difference,constant_water_stress_level,phenology_water_stress_level,stress_level_changed
2025-07-21,Rest / vegetative phase,0.75,0.6,3.8308001680733352,3.8308001680733352,2.873100126055001,2.298480100844001,-0.5746200252110003,-20.000000000000004,108.83659215777077,104.82680071450802,-4.009791443262742,0.5648959756027536,0.6177685226306711,0.05287254702791744,High,Medium,True
2025-07-22,Rest / vegetative phase,0.75,0.6,5.27357639309878,5.27357639309878,3.955182294824085,3.164145835859268,-0.7910364589648169,-20.0,111.99177445259484,107.1909465503673,-4.800827902227539,0.5232921848257959,0.5865952275463726,0.06330304272057674,High,High,False
2025-07-23,Rest / vegetative phase,0.75,0.6,4.710653453858607,4.710653453858607,3.5329900903939557,2.8263920723151643,-0.7065980180787914,-20.000000000000007,114.1847645429888,108.67733862268246,-5.507425920306346,0.4943757253722927,0.5669958703584937,0.07262014498620106,High,High,False
2025-07-24,Rest / vegetative phase,0.75,0.6,4.761091853472968,4.761091853472968,3.570818890104726,2.856655112083781,-0.7141637780209451,-20.0,116.56558343309354,110.34399373476624,-6.221589698327293,0.4629825817354782,0.5450195900357281,0.0820370083002499,High,High,False
2025-07-25,Rest / vegetative phase,0.75,0.6,4.758968214678791,4.758968214678791,3.5692261610090927,2.8553809288072745,-0.7138452322018183,-19.999999999999993,119.24480959410263,112.30937466357352,-6.935434930529112,0.4276546817185351,0.5191043530323841,0.09144967131384901,High,High,False
2025-07-26,Rest / vegetative phase,0.75,0.6,5.129858751950666,5.129858751950666,3.8473940639629993,3.0779152511703995,-0.7694788127925998,-20.0,122.79220365806565,115.08728991474392,-7.704913743321725,0.3808792416171361,0.4824751525277403,0.10159591091060421,High,High,False
2025-07-27,Rest / vegetative phase,0.75,0.6,5.708200032784543,5.708200032784543,4.281150024588407,3.4249200196707257,-0.8562300049176814,-20.0,127.06335368265404,118.50220993441464,-8.561143748239402,0.3245604570285322,0.4374464965760732,0.112886039547541,High,High,False
2025-07-28,Rest / vegetative phase,0.75,0.6,5.597440617948716,5.597440617948716,4.198080463461537,3.3584643707692297,-0.8396160926923071,-19.999999999999993,131.24143414611558,121.84067430518388,-9.400759840931698,0.2694688746067184,0.3934259740770538,0.1239570994703354,High,High,False
2025-07-29,Rest / vegetative phase,0.75,0.6,5.92955687686553,5.92955687686553,4.447167657649148,3.557734126119318,-0.8894335315298298,-20.000000000000007,135.63860180376471,125.34840843130318,-10.29019337246153,0.2114884392004529,0.3471734843481205,0.1356850451476676,High,High,False
2025-07-30,Rest / vegetative phase,0.75,0.6,6.283341920239137,6.283341920239137,4.712506440179353,3.770005152143482,-0.9425012880358707,-20.000000000000004,140.34110824394406,129.10841358344666,-11.232694660497401,0.1494818494748896,0.2975945842868858,0.1481127348119962,High,High,False
2025-07-31,Rest / vegetative phase,0.75,0.6,5.191489662864989,5.191489662864989,3.8936172471487422,3.114893797718993,-0.7787234494297492,-20.00000000000002,144.2147254910928,132.20330738116564,-12.011418109927149,0.0984048762791535,0.2567857491687286,0.1583808728895751,High,High,False
2025-08-01,Rest / vegetative phase,0.75,0.6,5.56880654523681,5.56880654523681,4.176604908927607,3.341283927142086,-0.8353209817855212,-19.999999999999993,148.3613304000204,135.51459130830773,-12.846739091712664,0.0437283261005057,0.2131236241834578,0.1693952980829521,High,High,False
